MinimumInstallerVersion;InstallerVersionLessThan;Sequence;WorkbenchVersion;TypeofCheck;FilesChecked;FileCheckDetails;Hash;InstallMedia;ADF_Name;FriendlyName;ADFSource;ADFDescription
1.0;9.9;3;3.1;Hash;;;C1C673EBA985E9AB0888C5762CFA3D8F;Disk;Extras3_1;Extras 3.1;Cloanto;Extras 3.1 (Cloanto)
1.0;9.9;4;3.1;Hash;;;F69233117F2D0145BCFB976DF65A251E;Disk;Extras3_1;Extras 3.1;Cloanto;Extras 3.1 (Cloanto #2)
1.0;9.9;1;3.1;Hash;;;287AAFEF2DB344F7E7A504AC682D729E;Disk;Extras3_1;Extras 3.1;Commodore;Extras 3.1 (Commodore #1)
1.0;9.9;2;3.1;Hash;;;E31FA35EA803E0904FD55177934668CD;Disk;Extras3_1;Extras 3.1;Commodore;Extras 3.1 (Commodore #2)
1.0;9.9;2;3.1;Hash;;;A0946B3892F19ADD33C7E9D09164B2D7;Disk;Extras3_1;Extras 3.1;Commodore;Extras 3.1 (Commodore #3)
1.0;9.9;2;3.1;Hash;;;4002BDC6209E1EEEF533B4C7CFBC5726;Disk;Extras3_1;Extras 3.1;Commodore;Extras 3.1 (Commodore #4)
1.0;9.9;6;3.1;Hash;;;3EFE8AECB0E5D3E795454412F0817E18;Disk;Extras3_1;Extras 3.1;Escom;Extras 3.1 (Escom #1)
1.0;9.9;5;3.1;Hash;;;2D02E4EF01DA3879AFB2DF6618E157FA;Disk;Extras3_1;Extras 3.1;Escom;Extras 3.1 (Escom #2)
1.0;9.9;6;3.1;Hash;;;86C1BBFC9ABC55762A69570E207509AD;Disk;Extras3_1;Extras 3.1;Escom;Extras 3.1 (Escom #3)
1.0;9.9;3;3.1;Hash;;;6FAE8B94BDE75497021A044BDBF51ABC;Disk;Fonts3_1;Fonts 3.1;Cloanto;Fonts 3.1 (Cloanto)
1.0;9.9;4;3.1;Hash;;;3DEA31AF880C974BA3C32ABDF221E507;Disk;Fonts3_1;Fonts 3.1;Cloanto;Fonts 3.1 (Cloanto #2)
1.0;9.9;1;3.1;Hash;;;38D9BA1365A290B458D9727084ECF04A;Disk;Fonts3_1;Fonts 3.1;Commodore;Fonts 3.1 (Commodore #1)
